,Tweet
119,RT AstorAaron The father modern mass democracy Martin Van Buren It tavern keeper knew mix
120,RT AmyPeikoff The pen mightier sword English author Edward Bulwer Lytton 1839 More review Biden team
121,RT elonmusk ClayTravis Twitter nytimes That The New York Times intents purposes unregistered
122,RT adamcarolla Apologies benshapiro listeners site crash amp running amp support discount offer realD
123,RT varadmehta Among split ticket voters DeSantis net favorability rating 7 Biden 21 Trump 36 Additionally 6
124,RT JoshKraushaar FTX collapse crime accident Sam Bankman Fried fraudster historic proportions htt
125,RT McCormickProf The brilliant legal philosopher Sherif Girgis posts argument Masterpiece Cakeshop case anticipation
126,RT michaelshermer Superb science work long accepted theory conservatives world dangerous lib
127,RT MichaelWarbur17 In 2006 high school English teacher asked students write famous author amp advice Kurt Vonnegut
128,RT Michele_Tafoya Freedom SchoolChoice
129,RT larryelder Part 2Well reverse California population loss Newsom reparations committee recommend hand
130,RT baseballcrank This race matters
131,RT EdMorrissey benshapiro Yep disgrace family friends staff latter ht
132,RT jordanbpeterson What possibly headline
133,1 Ye Jew hater extraordinarily high order 2 Ye suffering mental breakdown These things mutually exclusive
134,RT NAChristakis Huge walls made wholly human skulls
135,RT lachlan Pretty wild story state network fake conservative social media pages popped late cycle hit Rep
136,RT DaveStephens11 citing left leaning sources Vox The New Yorker The Guardian The Boston Globe reliable citing
137,RT MartyMakary New JAMA Study Long Haul 3 mo Covid different respiratory infections In fact improvem
138,RT Kredo0 SenTedCruz tells The Biden administration filled partisans hate Israel Benjamin Netanyahu
139,RT MattWalshBlog If I optimistic I hope Kanye West mental breakdown immolation persuade
140,RT Heritage benshapiro Senate passing called Respect Marriage Act The fact Republicans
141,RT BillFOXLA Fantastic work hillary__vaughn
142,The Left loves talk evils crony capitalism give billions dollars friends private sector It It investigate Elon give standing ovations fraudsters SBF
143,RT yashar Horrific scenes China CCP continues crack innocent This ordered quarantine ev
144,DGreenbaum I totally agree
145,Ye suffering mental breakdown It act cruelty air point He treatment spotlight
146,RT yaf Flashback benshapiro threatened checks notes giving basic biological facts
147,RT PollsAndVotes Our national MULawPoll outDeSantis gains support moving tie Biden registered voters
148,RT SirajAHashmi
149,RT iowahawkblog SBF September SBF November
150,RT kkondik Looking crossover members House Ds Trump districts Rs Biden districts Rs cross
151,RT wil_da_beast630 Like world Interesting data Notice rising power Black African states gl
152,RT elonmusk Slides Twitter company talk
153,RT WillHild ArthurBrooks corporations woke We CEOs 3 employees activists blowing Slac
154,RT jasonrantz NEW Seattle City Council voted permanently defund 80 police positions department dangerously understaffed
155,RT jtLOL That punishment Right guys Hello
156,RT ByronYork Sam Bankman Fried asked parents ended deed 16 4 million home Bahamas Who He
157,RT BradWilcoxIFS Parenthood pathway misery immiseration amp planetary degradation This message young women amp
158,RT realDailyWire Biden celebrates historic Strategic Petroleum Reserves lower gas prices benshapiro He rambling nons
159,RT charlescwcooke This terrific video Laughed loud fat mullet line
160,Disney Bob Iger company return political neutrality Why Maybe Disney decided insert politics parents punished Take money companies Disney eventually listen
161,RT realDailyWire Crowd member Four years Biden I
162,RT joelpollak No objecting human reversing censorship politicians
163,RT senatorshoshana JFC
164,RT AviMayer When talk ethnic cleansing Middle East
165,RT davidadamcone To Iranian propaganda reporters criticize soccer team GETOFFMYLAWN
166,RT AlinejadMasih Breaking news Iran official news agency announced 15 protesters including teenagers charged
167,RT greg_price11 Biden Jill spent lot time Indian reservations I worried home days Yo
168,RT wesyang Long convoluted chain influence major corporations punishing local school boards red states
169,RT TheAtlantic The philosophy How Build Life simple You happier work understand practice
170,RT DylanByers Scoop PuckNews The long anticipated CNN layoffs expected target hundreds employees underway today
171,RT wil_da_beast630 THIS inter racial marriage literally protected Civil Rights Act Loving Virginia
172,RT KWaggonerADF My ADFLegal colleague ryanlbangert
173,RT GorinMoti One letters editor responding recent NYT piece puberty blockers written pr
174,RT KateHydeNY Sam Brinton style makes realize wearing finds luggage ht
175,RT CasuallyGreg We totally grooming kids guys
176,RT MidnightMitch Incredible
177,RT ConceptualJames
178,So wildly unsuccessful
179,RT SenMikeLee
